"Year","Authors","Title","Cites"
2016,"K Werder, B Zobel, A Maedche","pdisc<u+0096>towards a method for software product discovery",9
2016,"K Werder, HY Wang","towards a software product industry classification",2
2016,"M Berner, J Augustine, A Maedche","the impact of process visibility on process performance",9
2016,"M Nadj, C Schieder","quo vadis realtime business intelligence? a descriptive literature review and future directions",8
2016,"M Nadj, F Haue<df>ler, S Wenzel, A Maedche","the smart mobile application framework smaf)<u+0096>exploratory evaluation in the smart city context",1
2016,"M Nadj, H Jegadeesan, A Maedche, D Hoffmann, P Erdmann","a situation awareness driven design for predictive maintenance systems the case of oil and gas pipeline operations",9
2016,"MA Chatti, P Toreini, H Thues, U Schroeder","snabased recommendation in professional learning environments",3
2016,"N Koppenhagen, B Mueller, A Maedche, Y Li, S Hiller","designing a supply network artifact for data process, and people integration",4
2016,"P Haake, S Morana, S Schacht, L Zhou-Hartmann, A Maedche","designing an end user participation and involvement assistant for continuous is development",2
2016,"P Haake, S Schacht, J Lauterbach, B Mueller, C Koegel, A Maedche","operationalization and measurement of the concept of effective use",0
2016,"P Toreini, MA Chatti, H Th<fc>s, U Schroeder","interestbased recommendation in academic networks using social network analysis",1
2016,"S Feil, M Kretzer, K Werder, A Maedche","using gamification to tackle the coldstart problem in recommender systems",19
2016,"S Gregor, A Maedche, S Morana, S Schacht","designing knowledge interface systems past, present, and future",3
2016,"S Morana, S Schacht, A Maedche","exploring the design use, and outcomes of process guidance systems-a qualitative field study",4
2016,"S Schacht, A Maedche","a methodology for systematic project knowledge reuse",14
2016,"S Schacht, A Reindl, S Morana, A M<e4>dche","die projectworld in der movilitas",0
2016,"S Schacht, A Reindl, S Morana, A M<e4>dche","einblick in die geschichte der wissensmanagementsysteme",0
2016,"S Schacht, A Reindl, S Morana, A M<e4>dche","gamification zur motivation von technologienutzern",0
2016,"S Schacht, A Reindl, S Morana, A M<e4>dche","herausforderungen des wissensmanagements in projekten",0
2016,"S Schacht, A Reindl, S Morana, A M<e4>dche","projektwissen spielend einfach managen mit der projectworld",1
2016,"S Schacht, A Reindl, S Morana, A M<e4>dche","projektwissen spielend einfach managen mit der projectworld hmd best paper award 2015",2
2016,"S Schacht, A Reindl, S Morana, A M<e4>dche","wie gamification die welt des wissensmanagements <e4>ndern kann",0
2016,"U Gnewuch, P Haake, B Mueller, A Maedche","the effect of learning on the effective use of enterprise systems",6
2016,"U Schloegel, S Stegmann, A Maedche, R Van Dick","reducing age stereotypes in software development the effects of awareness-and cooperation-based diversity interventions",15
2016,"V Dorner, S Morana, A Maedche, C Weinhardt","towards designing individual valueoriented decision support for selecting internet-based services",0
2016,"X Liu, K Werder, A M<e4>dche","a taxonomy of digital service design techniques",13
2016,"Z Shen, M Meulendijk, M Spruit, C Sillaber, A Graf, R Breu, B Ryder, ...","a federated information architecture for multinational clinical trials stripa revisited",3
2017,"A Exler, S Kramer, MAM Mart<ed>nez, C Navolskyi, M Vogt, M Beigl","suitability of eventbased prompts in experience sampling studies focusing on location changes",2
2017,"A Maedche","interview with prof jeroen van den hoven on <u+0093>why do ethics and values matter in business and information systems engineering?<u+0094>",3
2017,"A Maedche, J vom Brocke, A Hevner","designing the digital transformation desrist 2017 research in progress proceedings",1
2017,"A Maedche, J Vom Brocke, A Hevner","designing the digital transformation 12th international conference, desrist 2017, karlsruhe, germany, may 30<u+0096>june 1, 2017, proceedings",1
2017,"A Ojala, H Holmstr<f6>m Olsson, K Werder","preface software business: 8th international conference, icsob 2017",0
2017,"B Morschheuser","the gamification of crowdsourcing systems empirical investigations and design",1
2017,"B Morschheuser, A Maedche, D Walter","designing cooperative gamification conceptualization and prototypical implementation",21
2017,"B Morschheuser, C Hrach, R Alt, C Lefanczyk","gamifizierung mit bpmn",0
2017,"B Morschheuser, J Hamari, J Koivisto, A Maedche","gamified crowdsourcing conceptualization, literature review, and future agenda",149
2017,"B Morschheuser, J Hamari, K Werder, J Abe","how to gamify",13
2017,"B Morschheuser, K Werder, J Hamari, J Abe","how to gamify a method for designing gamification",126
2017,"B Morschheuser, K Werder, J Hamari, J Abe","how to gamify development of a method for gamification",161
2017,"B Morschheuser, M Riar, J Hamari, A Maedche","how games induce cooperation a study on the relationship between game features and we-intentions in an augmented reality game",60
2017,"C Fleig, A Maedche","towards the design of a process miningenabled decision support system for business process transformation.",4
2017,"C Legner, T Eymann, T Hess, C Matt, T B<f6>hmann, P Drews, A M<e4>dche, ...","digitalization opportunity and challenge for the business and information systems engineering community",218
2017,"D Augenstein, A M<e4>dche","exploring design principles for business model transformation tools",6
2017,"D Hummel, A M<e4>dche","ittrends in der finanzbranche",0
2017,"D Hummel, S Schacht, A M<e4>dche","multichannel choice in retail banking services: exploring the role of service characteristics",7
2017,"D Hummel, S Schacht, A Maedche","designing adaptive nudges for multichannel choices of digital services: a laboratory experiment design",8
2017,"I Benke, P Guth, T Rietz, A Maedche","discovering core modules of platformbased software ecosystems for non-profit sport organizations",0
2017,"J Brocke, AR Hevner, A Maedche","call for papers issue 1/2019",0
2017,"J Feine, M Adam, I Benke, A Maedche, A Benlian","exploring design principles for enterprise chatbots an analytic hierarchy process study",0
2017,"J Vom Brocke, AR Hevner, A Maedche","call for papers issue 1/2019",3
2017,"J vom Brocke, P Fettke, M Gau, C Houy, A Maedche, S Morana, S Seidel","toolsupport for design science research: design principles and instantiation",14
2017,"K Werder","teams in agile software development design principles and examination of human factors",0
2017,"M Langner, P Toreini, A Maedche","attention board a quantified-self dashboard for enhancing atention management with eye-tracking",0
2017,"M Nadj","designing dashboards for operational decision makers situation awareness: multiple studies in the real-time business intelligence system context",0
2017,"M Nadj, C Schieder","towards a taxonomy of realtime business intelligence systems",3
2017,"M Reuter-Oppermann, S Morana, P Hottum","towards designing an assistant for semiautomatic ems dispatching",4
2017,"M Reuter-Oppermann, S Rachuba, S Morana","assessing information requirements for complex decision making in healthcare",0
2017,"MTP Adam, H Gimpel, A Maedche, R Riedl","design blueprint for stresssensitive adaptive enterprise systems",41
2017,"N Bergmann, S Schacht, U Gnewuch, A M<e4>dche","understanding the influence of personality traits on gamification the role of avatars in energy saving tasks",6
2017,"N Bergmann, S Schacht, U Gnewuch, A M<e4>dche","understanding the influence of personality traits on gamification the role of avatars in energy saving tasks.",6
2017,"P Haake, S Schacht, B Mueller, A Maedche","enterprise system renewalthe divergence between perception and reality",2
2017,"P Haake, S Schacht, B Mueller, A Maedche","unternehmenssoftware <u+0084>erfolgreich <u+0093>erneuern<u+0096>divergenzen zwischen wahrnehmung und realit<e4>t",0
2017,"P Toreini, S Morana","designing attentionaware business intelligence and analytics dashboards",3
2017,"R Rissler, M Nadj, A M<e4>dche, N Koppenhagen","flowerfassung am arbeitsplatz: aktueller stand der forschung und innovative anwendungsszenarien",0
2017,"R Rissler, M Nadj, M Adam","flow in information systems research review, integrative theoretical framework, and future directions",8
2017,"R Rissler, M Nadj, M Adam, A Maedche","towards an integrative theoretical framework of itmediated interruptions",13
2017,"S Morana, C Friemel, U Gnewuch, A Maedche, J Pfeiffer","interaktion mit smarten systemen <u+0097> aktueller stand und zuk<fc>nftige entwicklungen im bereich der nutzerassistenz",21
2017,"S Morana, C Friemel, U Gnewuch, A Maedche, J Pfeiffer","interaktion mit smarten systemen<u+0097>aktueller stand und zuk<fc>nftige entwicklungen im bereich der nutzerassistenz",21
2017,"S Morana, J Kroenung, A Maedche"," i did use it!""-assessing subjective vs objective cognitive artifact usage",1
2017,"S Morana, S Schacht, A Scherp, A Maedche","a review of the nature and effects of guidance design features",36
2017,"S Morana, S Schacht, A Scherp, A Maedche","and effects of guidance design features decision support systems, 97, 31<u+0096>42.",0
2017,"S Morana, T Dehling, M Reuter-Oppermann, A Sunyaev","user assistance for health care information systems",4
2017,"S Schacht, A Reindl, S Morana, A M<e4>dche","projekterfahrungen spielend einfach mit der projectworld<u+0096>ein gamifiziertes projektwissensmanagementsystem",0
2017,"S Schacht, F Keusch, N Bergmann, S Morana","web survey gamification<u+0096>increasing data quality in web surveys by using game design elements",6
2017,"S Warren, R Gleasure, P O'Reilly, J Feller, S Li, J Christoforo","where is the crowd",1
2017,"T Straub, FZIF Informati, S Morana, C Weinhardt","the effect of social reputation on retention designing a social real-time delphi platform",0
2017,"U Gnewuch, S Morana, A Maedche","towards designing cooperative and social conversational agents for customer service",101
2017,"Y Li, PLP Rau, H Li, A Maedche","effects of a dyads cultural intelligence on global virtual collaboration",10
2018,"A Maedche","servicedesignkit a web platform of digital service design techniques",0
2018,"B Morschheuser, L Hassan, K Werder, J Hamari","how to design gamification a method for engineering gamified software",105
2018,"B Spieler","reinforcing gender equality by analysing female teenagers performances in coding activities: a lesson learned",4
2018,"C Fleig, D Augenstein, A Maedche","designing a process miningenabled decision support system for business process standardization in erp implementation projects",3
2018,"C Fleig, D Augenstein, A Maedche","keyproa decision support system for discovering important business processes in information systems",2
2018,"C Fleig, D Augenstein, A Maedche","process mining for business process standardization in erp implementation projectsan sap s/4 hana case study from manufacturing.",1
2018,"C Fleig, D Augenstein, A Maedche","tell me what<u+0092>s my businessdevelopment of a business model mining software",1
2018,"C Friemel, S Morana, J Pfeiffer, A Maedche","on the role of users<u+0092> cognitiveaffective states for user assistance invocation",7
2018,"CS Heckmann, A Maedche","it ambidexterity for business processes the importance of balance",3
2018,"D Augenstein, C Fleig, A M<e4>dche","development of a datadriven business model transformation tool",5
2018,"D Hummel, P Toreini, A Maedche","improving digital nudging using attentive user interfaces theory development and experiment design",11
2018,"D Hummel, S Herbertz, A M<e4>dche","biological sex vs psychological gender-roles in online channel choices: evidence from two studies in the financial services industry",2
2018,"D Jung, V Dorner, F Glaser, S Morana","roboadvisory",64
2018,"J Vom Brocke, W Maa<df>, P Buxmann, A Maedche, JM Leimeister, G Pecht","future work and enterprise systems",30
2018,"K Werder","the evolution of emotional displays in open source software development teams an individual growth curve analysis",5
2018,"K Werder, A Maedche","explaining the emergence of team agility a complex adaptive systems perspective",10
2018,"K Werder, S Brinkkemper","meme toward a method for emotions extraction from github",4
2018,"K Werder, S Brinkkemper, J Bosch, MA Cusumano, G Herzwurm, ...","43 working group on software-intensive business research: definition and roadmap",0
2018,"L Hassan, B Morschheuser, N Alexan, J Hamari","firsthand experience of why gamification projects fail and what to do about it",6
2018,"M Burgmaier, K Eichhorn, B Mueller, A Maedche","configurations of user involvement and participation in relation to information system project success",0
2018,"M Burmester, I Benke, S D<f6>belt, M Minge, E Stein, G Stevens","uuxpraxis im wandel: usability und user experience in zeiten der digitalisierung",1
2018,"M Kretzer, A Maedche","designing social nudges for enterprise recommendation agents an investigation in the business intelligence systems context",11
2018,"MT Knierim, M Nadj, A Hariharan, C Weinhardt","flow neurophysiology in knowledge work electroencephalographic observations from two cognitive tasks.",0
2018,"MT Knierim, R Rissler, V Dorner, A Maedche, C Weinhardt","the psychophysiology of flow a systematic review of peripheral nervous system features",11
2018,"P Abrahamsson, J Bosch, S Brinkkemper, A M<e4>dche","software business platforms, and ecosystems: fundamentals of software production research (dagstuhl seminar 18182)",5
2018,"P Haake, J Kaufmann, M Baumer, M Burgmaier, K Eichhorn, B Mueller, ...","configurations of user involvement and participation in relation to information system project success",2
2018,"P Haake, S Schacht, A Maedche","adaptive system use revisited<u+0096>a methodological replication",0
2018,"P Toreini, I Benke, M Langner, S Schaumann, J Schwarzenboeck, ...","enhancing joint attention in collaborative information dashboards with shared gaze awareness",0
2018,"P Toreini, M Langner, A Maedche","designing attentionaware business intelligence and analytics dashboards to support task resumption",2
2018,"P Toreini, M Langner, A Maedche","use of attentive information dashboards to support task resumption in working environments",3
2018,"R Rissler, M Nadj, MX Li, MT Knierim, A Maedche","got flow using machine learning on physiological data to classify flow",6
2018,"S Kloker, T Straub, S Morana, C Weinhardt","fraud and manipulation prevention in prediction markets",1
2018,"S Kloker, T Straub, S Morana, C Weinhardt","the effect of social reputation on retention designing a social real-time delphi platform",2
2018,"S Morana, A Maedche","aienabled user assistance: designing human-intelligent system cooperation",0
2018,"S Morana, J Pfeiffer, MTP Adam","call for papers issue 3/2020",0
2018,"S Morana, J vom Brocke, A Maedche, S Seidel, MTP Adam, U Bub, ...","tool support for design science research<u+0097>towards a software ecosystem a report from a desrist 2017 workshop",6
2018,"S Morana, M Scheid, M Gau, I Benke, J vom Brocke, P Fettke, A Maedche","research prototype the design canvas in mydesignprocess. com",5
2018,"S Seidel, L Chandra Kruse, N Sz<e9>kely, M Gau, D Stieger","design principles for sensemaking support systems in environmental sustainability transformations",62
2018,"S Sherer, S Morana, M Reuter-Opperman","introduction to the minitrack on itenabled healthcare coordination",0
2018,"SA Alumur, S Nickel, B Rohrbeck, F Saldanha-da-Gama","modeling congestion and service time in hub location problems",18
2018,"U Gnewuch, S Morana, C Heckmann, A Maedche","designing conversational agents for energy feedback",17
2018,"U Gnewuch, S Morana, M Adam, A Maedche","faster is not always better understanding the effect of dynamic response delays in human-chatbot interaction",50
2018,"U Gnewuch, S Morana, MTP Adam, A Maedche","<u+0093>the chatbot is typing..<u+0094><u+0096>the role of typing indicators in human-chatbot interaction",3
2018,"U Gnewuch, S Morana, MTP Adam, A Maedche","<u+0093>the chatbot is typing<u+0085><u+0094><u+0096>the role of typing indicators in humanchatbot interaction",9
2018,"U Gnewuch, S Morana, MTP Adam, A Maedche","faster is not always better understanding the effect of dynamic response delays in human-chatbot interaction",50
2018,"U Schloegel, S Stegmann, A Maedche, R Van Dick","age stereotypes in agile software development<u+0096>an empirical study of performance expectations",12
2018,"U Schloegel, S Stegmann, R Van Dick, A Maedche","age stereotypes in distributed software development the impact of culture on age-related performance expectations",5
2018,"X Liu","selection support of digital service design techniques for design novices",0
2018,"X Liu, ETM Leung, P Toreini, A Maedche","servicedesignkit a web platform of digital service design techniques",1
2018,"X Liu, K Werder, Q Zhao","the role of cultural differences when using different classifications an experiment design for design technique selection.",0
2019,"A Hevner, J vom Brocke, A Maedche","roles of digital innovation in design science research",18
2019,"A M<e4>dche","forschungsgruppe iismissd (m<e4>dche) digital service design & innovation",0
